benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
linpack,80,2048,2000,2,6312.73473272125
linpack,80,2048,2000,3,6340.88967699173
linpack,80,2048,2000,4,5948.899535075108
linpack,80,2048,2000,5,6366.829949161331
linpack,80,2048,2000,6,6295.30613541439
linpack,80,2048,2000,7,6377.113273884712
linpack,80,2048,2000,8,6371.478316705107
linpack,80,2048,2000,9,6280.840844143948
linpack,80,2048,2000,10,5992.4695606986625
linpack,96,2048,5000,1,5912.214866374145
linpack,96,2048,5000,2,6341.674117126383
linpack,96,2048,5000,3,6368.460502659758
linpack,96,2048,5000,4,6375.671762051283
linpack,96,2048,5000,5,6364.677853953198
linpack,96,2048,5000,6,6375.571216686963
linpack,96,2048,5000,7,6382.70445575454
linpack,96,2048,5000,8,6326.531766097924
linpack,96,2048,5000,9,6340.049297170489
linpack,96,2048,5000,10,6353.256653745403
linpack,96,2048,4000,1,6146.259818508593
linpack,96,2048,4000,2,6353.129417559749
linpack,96,2048,4000,3,6369.763421820735
linpack,96,2048,4000,4,6363.140578234881
linpack,96,2048,4000,5,6371.763508965518
linpack,96,2048,4000,6,6198.974777113126
linpack,96,2048,4000,7,6344.783770346449
linpack,96,2048,4000,8,6340.279789644225
linpack,96,2048,4000,9,6166.881159245283
linpack,96,2048,4000,10,6370.698719700187
linpack,64,2048,6000,1,6238.717929912391
linpack,64,2048,6000,2,6356.591799715292
linpack,64,2048,6000,3,6376.908116150654
linpack,64,2048,6000,4,6390.430204635006
linpack,64,2048,6000,5,6375.621932881038
linpack,64,2048,6000,6,6377.9507143
linpack,64,2048,6000,7,6290.545938780926
linpack,64,2048,6000,8,6366.285660265584
linpack,64,2048,6000,9,6377.424564870872
linpack,64,2048,6000,10,6208.0434995626865
linpack,16,2048,3000,1,1725.3519213034122
linpack,16,2048,3000,2,1724.4542825991086
linpack,16,2048,3000,3,1713.480525802967
linpack,16,2048,3000,4,1711.6400883578467
linpack,16,2048,3000,5,1699.6149422604237
linpack,16,2048,3000,6,1675.6467009920098
linpack,16,2048,3000,7,1701.9618468134915
linpack,16,2048,3000,8,1715.0624231947618
linpack,16,2048,3000,9,1689.458355078245
linpack,16,2048,3000,10,1709.711116460177
linpack,64,2048,4000,1,6282.108672020115
linpack,64,2048,4000,2,6367.9928153
linpack,64,2048,4000,3,6343.621806475417
linpack,64,2048,4000,4,6298.991623964176
linpack,64,2048,4000,5,6378.836029153443
linpack,64,2048,4000,6,6379.4326559912415
linpack,64,2048,4000,7,6144.846011398035
linpack,64,2048,4000,8,6348.013305825045
linpack,64,2048,4000,9,6348.647236691729
