benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
image-process,32,2048,2.4M,4,58.277208494528246
image-process,32,2048,2.4M,5,67.9470683857088
image-process,32,2048,2.4M,6,70.2699918682002
image-process,32,2048,2.4M,7,70.30304333639987
image-process,32,2048,2.4M,8,73.34629245235071
image-process,32,2048,2.4M,9,71.65059111734455
image-process,32,2048,2.4M,10,71.62696856216216
image-process,16,2048,4.6M,1,100.48339674736188
image-process,16,2048,4.6M,2,100.72397039307333
image-process,16,2048,4.6M,3,101.71284440185376
image-process,16,2048,4.6M,4,101.5893332328466
image-process,16,2048,4.6M,5,101.7473793069307
image-process,16,2048,4.6M,6,101.7580875491481
image-process,16,2048,4.6M,7,102.14677063418466
image-process,16,2048,4.6M,8,101.6911205442177
image-process,16,2048,4.6M,9,101.51030650902302
image-process,16,2048,4.6M,10,101.57861705658028
image-process,48,2048,860K,1,58.723594876847294
image-process,48,2048,860K,2,49.18933408519767
image-process,48,2048,860K,3,44.31523056193633
image-process,48,2048,860K,4,33.339862162879676
image-process,48,2048,860K,5,29.727937465801613
image-process,48,2048,860K,6,29.12267682618862
image-process,48,2048,860K,7,45.90052448519699
image-process,48,2048,860K,8,50.958542615968405
image-process,48,2048,860K,9,51.32487471831527
image-process,48,2048,860K,10,40.88270582030052
image-process,96,2048,608K,1,947.804328197106
image-process,96,2048,608K,2,34.99197938719536
image-process,96,2048,608K,3,32.788807537366
image-process,96,2048,608K,4,33.48075022670025
image-process,96,2048,608K,5,18.854210188621376
image-process,96,2048,608K,6,27.29483220090026
image-process,96,2048,608K,7,34.93225813739489
image-process,96,2048,608K,8,34.39020166296414
image-process,96,2048,608K,9,33.86327483624802
image-process,96,2048,608K,10,28.61656222257501
image-process,80,2048,384K,1,1219.7205374076393
image-process,80,2048,384K,2,10.33479712420357
image-process,80,2048,384K,3,10.291690718483116
image-process,80,2048,384K,4,10.190228548933154
image-process,80,2048,384K,5,9.535080038107335
image-process,80,2048,384K,6,10.40995439689947
image-process,80,2048,384K,7,9.189459666218461
image-process,80,2048,384K,8,10.431382372666878
image-process,80,2048,384K,9,10.329334857866815
image-process,80,2048,384K,10,10.41416841603811
image-process,32,2048,3.4M,1,100.28005315153395
image-process,32,2048,3.4M,2,95.0901698516139
image-process,32,2048,3.4M,3,100.09468575382485
image-process,32,2048,3.4M,4,102.02794461538463
image-process,32,2048,3.4M,5,101.0040456478507
image-process,32,2048,3.4M,6,101.72756208154003
image-process,32,2048,3.4M,7,102.05033231840481
image-process,32,2048,3.4M,8,101.5255353374427
image-process,32,2048,3.4M,9,102.14279373202358
image-process,32,2048,3.4M,10,101.72925703813
image-process,16,2048,12K,1,624.5178064116404
image-process,16,2048,12K,2,1.914700191914425
image-process,16,2048,12K,3,1.4234785444322975
image-process,16,2048,12K,4,2.1842288725105847
image-process,16,2048,12K,5,1.730386332674832
image-process,16,2048,12K,6,1.4042670552827499
image-process,16,2048,12K,7,1.416268277716274
image-process,16,2048,12K,8,1.5283167378145905
image-process,16,2048,12K,9,1.2275173576816198
image-process,16,2048,12K,10,1.8038606967700976
image-process,80,2048,1.2M,1,849.1690587949556
image-process,80,2048,1.2M,2,39.14955426419831
image-process,80,2048,1.2M,3,40.78836732607667
image-process,80,2048,1.2M,4,41.925574541729056
image-process,80,2048,1.2M,5,43.060685433351836
image-process,80,2048,1.2M,6,43.27893062519835
image-process,80,2048,1.2M,7,45.827434722420215
image-process,80,2048,1.2M,8,26.737216355837965
image-process,80,2048,1.2M,9,35.001079656597774
image-process,80,2048,1.2M,10,43.20678361415199
image-process,80,2048,12K,1,817.8898665537521
image-process,80,2048,12K,2,2.0675831067199875
image-process,80,2048,12K,3,1.9933792341494037
image-process,80,2048,12K,4,1.6480809276642738
image-process,80,2048,12K,5,1.7148098855112517
image-process,80,2048,12K,6,1.6613908583116985
image-process,80,2048,12K,7,1.643194142925354
image-process,80,2048,12K,8,1.7128096312157983
image-process,80,2048,12K,9,1.6538139428571428
image-process,80,2048,12K,10,1.5544371553159437
image-process,64,2048,244K,1,37.13100137337737
image-process,64,2048,244K,2,28.198962151589242
image-process,64,2048,244K,3,29.669652080789106
image-process,64,2048,244K,4,26.54510196301128
image-process,64,2048,244K,5,29.17641664696734
image-process,64,2048,244K,6,28.949949289516315
image-process,64,2048,244K,7,29.047519616009907
image-process,64,2048,244K,8,29.350239137162955
image-process,64,2048,244K,9,26.051747547815268
image-process,64,2048,244K,10,29.763413763174206
image-process,48,2048,3.4M,1,538.0852844808912
image-process,48,2048,3.4M,2,100.37518736265409
image-process,48,2048,3.4M,3,101.66408447919926
image-process,48,2048,3.4M,4,101.79065920449229
image-process,48,2048,3.4M,5,102.21580664830118
image-process,48,2048,3.4M,6,101.83053006158218
image-process,48,2048,3.4M,7,102.1546108411215
image-process,48,2048,3.4M,8,101.4897779992215
image-process,48,2048,3.4M,9,101.74291465868079
image-process,48,2048,3.4M,10,102.05646078219199
image-process,16,2048,2.4M,1,388.2902121418701
image-process,16,2048,2.4M,2,46.39589033929673
image-process,16,2048,2.4M,3,40.969404472283124
image-process,16,2048,2.4M,4,48.51525372606775
image-process,16,2048,2.4M,5,50.57407613233129
image-process,16,2048,2.4M,6,51.46042576271186
image-process,16,2048,2.4M,7,55.47422929733047
image-process,16,2048,2.4M,8,54.78536470588236
image-process,16,2048,2.4M,9,58.5574262939926
image-process,16,2048,2.4M,10,66.0226766451613
image-process,64,2048,860K,1,61.98021425665709
image-process,64,2048,860K,2,47.6726569822075
image-process,64,2048,860K,3,25.344738476997957
image-process,64,2048,860K,4,34.87704366995265
image-process,64,2048,860K,5,53.40876228952056
image-process,64,2048,860K,6,51.63727158418923
image-process,64,2048,860K,7,50.13587270975144
image-process,64,2048,860K,8,38.56124969828253
image-process,64,2048,860K,9,35.296945330225334
image-process,64,2048,860K,10,50.94262730553827
image-process,64,2048,608K,1,53.298800049352245
image-process,64,2048,608K,2,20.402355709130003
image-process,64,2048,608K,3,33.876676447972606
image-process,64,2048,608K,4,33.907452294763054
image-process,64,2048,608K,5,33.22260312543908
image-process,64,2048,608K,6,33.555876215167274
image-process,64,2048,608K,7,34.30467146567718
image-process,64,2048,608K,8,21.305115683744074
image-process,64,2048,608K,9,33.13723547187141
image-process,64,2048,608K,10,33.987203131498475
