benchmark,cpu_lim,mem_lim,data_size,run_no,exec_time,mem_usage,mem_util,cpu_util
image-process,48,2048,184K,4,0.3553988933563232,90.62109375,4.424858093261719,36.01132239766978
image-process,48,2048,184K,5,0.3548684120178222,90.62109375,4.424858093261719,36.24086908098839
image-process,48,2048,184K,6,0.3563451766967773,90.62109375,4.424858093261719,21.94581898724509
image-process,48,2048,184K,7,0.3584542274475097,90.62109375,4.424858093261719,36.08714344626258
image-process,48,2048,184K,8,0.354119062423706,90.62109375,4.424858093261719,35.01166016202453
image-process,48,2048,184K,9,0.3625028133392334,90.62109375,4.424858093261719,37.377075321711565
image-process,48,2048,184K,10,0.3651163578033447,90.62109375,4.424858093261719,37.79402744672485
image-process,16,2048,608K,1,0.3061568737030029,85.36328125,4.168128967285156,609.9877887078344
image-process,16,2048,608K,2,0.3231668472290039,85.36328125,4.168128967285156,33.54261628587067
image-process,16,2048,608K,3,0.3314535617828369,85.36328125,4.168128967285156,34.226217655735134
image-process,16,2048,608K,4,0.331498384475708,85.36328125,4.168128967285156,34.55608490747303
image-process,16,2048,608K,5,0.3322334289550781,85.36328125,4.168128967285156,34.49223376030437
image-process,16,2048,608K,6,0.3310794830322265,85.36328125,4.168128967285156,19.805416485058743
image-process,16,2048,608K,7,0.3332862854003906,85.36328125,4.168128967285156,34.57449016911473
image-process,16,2048,608K,8,0.3336615562438965,85.36328125,4.168128967285156,34.75625781592752
image-process,16,2048,608K,9,0.3380658626556396,85.36328125,4.168128967285156,35.186800741386136
image-process,16,2048,608K,10,0.3304586410522461,85.36328125,4.168128967285156,32.0606912481203
image-process,48,2048,928K,1,0.5201036930084229,113.34375,5.53436279296875,65.0665396060255
image-process,48,2048,928K,2,0.550633430480957,113.34375,5.53436279296875,55.18784358199801
image-process,48,2048,928K,3,0.5606920719146729,113.34375,5.53436279296875,39.46125278254816
image-process,48,2048,928K,4,0.5556457042694092,113.34375,5.53436279296875,29.218739628344515
image-process,48,2048,928K,5,0.5874602794647217,113.34375,5.53436279296875,38.74469418877237
image-process,48,2048,928K,6,0.5646061897277832,113.34375,5.53436279296875,48.722170261150914
image-process,48,2048,928K,7,0.5647950172424316,113.34375,5.53436279296875,57.46979214497735
image-process,48,2048,928K,8,0.558020830154419,113.34375,5.53436279296875,56.33823285592893
image-process,48,2048,928K,9,0.5632474422454834,113.34375,5.53436279296875,57.7983620688571
image-process,48,2048,928K,10,0.5584125518798828,113.34375,5.53436279296875,52.51125163994682
image-process,80,2048,3.4M,1,1.6691226959228516,234.03125,11.42730712890625,1043.6707346049734
image-process,80,2048,3.4M,2,1.6958096027374268,234.03125,11.42730712890625,101.01201274158012
image-process,80,2048,3.4M,3,1.6389315128326416,234.03125,11.42730712890625,101.18441546780168
image-process,80,2048,3.4M,4,1.6909208297729492,234.03125,11.42730712890625,92.85656204152798
image-process,80,2048,3.4M,5,1.6773052215576172,234.03125,11.42730712890625,88.3434810186434
image-process,80,2048,3.4M,6,1.6800158023834229,234.03125,11.42730712890625,100.81558398729656
image-process,80,2048,3.4M,7,1.6752681732177734,234.03125,11.42730712890625,101.99374602731028
image-process,80,2048,3.4M,8,1.7479922771453855,234.03125,11.42730712890625,101.59559070447143
image-process,80,2048,3.4M,9,1.6822102069854736,234.03125,11.42730712890625,101.8489801602793
image-process,80,2048,3.4M,10,1.6755321025848389,234.08203125,11.429786682128906,95.30127689209546
image-process,64,2048,244K,1,0.2933912277221679,79.36328125,3.875160217285156,37.13100137337737
image-process,64,2048,244K,2,0.2785384654998779,79.36328125,3.875160217285156,28.19896215158924
image-process,64,2048,244K,3,0.2848145961761474,79.36328125,3.875160217285156,29.669652080789103
image-process,64,2048,244K,4,0.2823758125305176,79.36328125,3.875160217285156,26.54510196301128
image-process,64,2048,244K,5,0.2847077846527099,79.36328125,3.875160217285156,29.17641664696734
image-process,64,2048,244K,6,0.2844710350036621,79.36328125,3.875160217285156,28.949949289516315
image-process,64,2048,244K,7,0.2842326164245605,79.36328125,3.875160217285156,29.047519616009907
image-process,64,2048,244K,8,0.2828853130340576,79.36328125,3.875160217285156,29.350239137162955
image-process,64,2048,244K,9,0.2836272716522217,79.36328125,3.875160217285156,26.051747547815268
image-process,64,2048,244K,10,0.2893011569976806,79.36328125,3.875160217285156,29.763413763174206
image-process,32,2048,244K,1,0.2838897705078125,79.48828125,3.881263732910156,23.74974261728395
image-process,32,2048,244K,2,0.2862274646759033,79.48828125,3.881263732910156,29.403204696431327
image-process,32,2048,244K,3,0.2818818092346191,79.48828125,3.881263732910156,28.610468970374345
image-process,32,2048,244K,4,0.2784187793731689,79.48828125,3.881263732910156,23.47056795634463
image-process,32,2048,244K,5,0.2847404479980469,79.48828125,3.881263732910156,28.75345805979256
image-process,32,2048,244K,6,0.2858080863952636,79.48828125,3.881263732910156,29.641366379595368
image-process,32,2048,244K,7,0.2881455421447754,79.48828125,3.881263732910156,17.668851506933272
image-process,32,2048,244K,8,0.2802066802978515,79.48828125,3.881263732910156,28.690935876176404
image-process,32,2048,244K,9,0.2863850593566894,79.48828125,3.881263732910156,23.83371101440392
image-process,32,2048,244K,10,0.2860822677612304,79.48828125,3.881263732910156,29.066920107916445
image-process,80,2048,1.2M,1,0.426173448562622,94.26171875,4.602622985839844,849.1690587949556
image-process,80,2048,1.2M,2,0.4138293266296386,94.26171875,4.602622985839844,39.14955426419831
image-process,80,2048,1.2M,3,0.3909289836883545,94.26171875,4.602622985839844,40.78836732607667
image-process,80,2048,1.2M,4,0.4012248516082763,94.26171875,4.602622985839844,41.925574541729056
image-process,80,2048,1.2M,5,0.4135763645172119,94.26171875,4.602622985839844,43.06068543335184
