benchmark,cpu_lim,mem_lim,data_size,run_no,cpu_util
encrypt,80,2048,1000,7,23.288051973780043
encrypt,80,2048,1000,8,23.764713004164186
encrypt,80,2048,1000,9,23.007241349107208
encrypt,80,2048,1000,10,22.660313097226055
encrypt,96,2048,50000,1,102.36516260287627
encrypt,96,2048,50000,2,102.31184273062175
encrypt,96,2048,50000,3,102.3171384862527
encrypt,96,2048,50000,4,102.15914963030441
encrypt,96,2048,50000,5,102.39126883777982
encrypt,96,2048,50000,6,102.49918699599667
encrypt,96,2048,50000,7,102.34671223491527
encrypt,96,2048,50000,8,102.23723762123149
encrypt,96,2048,50000,9,102.34159216613612
encrypt,96,2048,50000,10,101.75722415610053
encrypt,64,2048,35000,1,102.16328203976607
encrypt,64,2048,35000,2,102.18252147644056
encrypt,64,2048,35000,3,102.46336601604891
encrypt,64,2048,35000,4,102.15415548076922
encrypt,64,2048,35000,5,102.18021113557722
encrypt,64,2048,35000,6,102.25508489060489
encrypt,64,2048,35000,7,102.5187870906652
encrypt,64,2048,35000,8,102.09421705710213
encrypt,64,2048,35000,9,102.09642801001442
encrypt,64,2048,35000,10,102.25533215899519
encrypt,64,2048,10000,1,102.41929060663293
encrypt,64,2048,10000,2,101.92358287147528
encrypt,64,2048,10000,3,101.9633586074948
encrypt,64,2048,10000,4,102.1350384461305
encrypt,64,2048,10000,5,101.88113566816075
encrypt,64,2048,10000,6,102.04274542413381
encrypt,64,2048,10000,7,102.01075433446094
encrypt,64,2048,10000,8,102.09596365314478
encrypt,64,2048,10000,9,101.75960156726165
encrypt,64,2048,10000,10,102.16780402359792
encrypt,32,2048,35000,1,102.67211306273063
encrypt,32,2048,35000,2,102.30034812196062
encrypt,32,2048,35000,3,102.33323631457918
encrypt,32,2048,35000,4,102.23751602591793
encrypt,32,2048,35000,5,102.34293925787048
encrypt,32,2048,35000,6,102.07659183142792
encrypt,32,2048,35000,7,102.1982945623223
encrypt,32,2048,35000,8,102.06784398643853
encrypt,32,2048,35000,9,102.41571757289205
encrypt,32,2048,35000,10,101.93730989287243
