benchmark,cpu_lim,mem_lim,data_size,exec_time,mem_usage,mem_util
matmult,48,2048,8000,3.298964977,1526.773438,74.54948425
matmult,48,2048,8000,3.502045155,1526.773438,74.54948425
matmult,48,2048,8000,2.922142029,1526.773438,74.54948425
matmult,48,2048,8000,2.356715679,1526.773438,74.54948425
matmult,80,2048,6000,0.951036692,875.7226563,42.75989532
matmult,80,2048,6000,0.998549461,876.5390625,42.79975891
matmult,80,2048,6000,1.34203887,877.0351563,42.82398224
matmult,80,2048,6000,1.301030874,877.4648438,42.84496307
matmult,80,2048,6000,1.272091627,877.4648438,42.84496307
matmult,80,2048,6000,1.448266983,877.4648438,42.84496307
matmult,80,2048,6000,1.555873632,877.4648438,42.84496307
matmult,80,2048,6000,1.174901724,877.4648438,42.84496307
matmult,80,2048,6000,1.207134247,877.4648438,42.84496307
matmult,80,2048,6000,1.124387264,877.4648438,42.84496307
matmult,16,2048,4000,1.069941759,410.6796875,20.05271912
matmult,16,2048,4000,1.09375596,411.078125,20.07217407
matmult,16,2048,4000,1.192947626,412.015625,20.11795044
matmult,16,2048,4000,1.057604074,412.015625,20.11795044
matmult,16,2048,4000,1.122818232,412.015625,20.11795044
matmult,16,2048,4000,1.138715982,412.015625,20.11795044
matmult,16,2048,4000,1.202078342,412.015625,20.11795044
matmult,16,2048,4000,1.136428595,412.015625,20.11795044
matmult,16,2048,4000,1.167254686,412.015625,20.11795044
matmult,16,2048,4000,1.262112141,412.015625,20.11795044
matmult,16,2048,6000,3.064562559,873.3945313,42.64621735
matmult,16,2048,6000,2.730684996,877.2265625,42.83332825
matmult,16,2048,6000,2.963197947,877.2265625,42.83332825
matmult,16,2048,6000,2.772767305,877.2265625,42.83332825
matmult,16,2048,6000,2.815163374,877.2265625,42.83332825
matmult,16,2048,6000,2.838780403,877.5234375,42.8478241
matmult,16,2048,6000,3.064296246,877.5234375,42.8478241
matmult,16,2048,6000,2.899309158,877.5234375,42.8478241
matmult,16,2048,6000,2.9407444,877.5234375,42.8478241
matmult,16,2048,6000,2.834957123,877.5234375,42.8478241
matmult,32,2048,1000,0.049665451,56.0234375,2.735519409
matmult,32,2048,1000,0.012771368,56.0234375,2.735519409
matmult,32,2048,1000,0.012174845,56.0234375,2.735519409
matmult,32,2048,1000,0.013147354,56.3125,2.749633789
matmult,32,2048,1000,0.012363434,56.3125,2.749633789
matmult,32,2048,1000,0.017726898,56.3125,2.749633789
matmult,32,2048,1000,0.017122269,56.3125,2.749633789
matmult,32,2048,1000,0.022631645,56.3125,2.749633789
matmult,32,2048,1000,0.013027668,56.3125,2.749633789
matmult,32,2048,1000,0.013465405,56.3125,2.749633789
matmult,32,2048,500,0.005510092,37.0859375,1.810836792
matmult,32,2048,500,0.004528999,37.0859375,1.810836792
matmult,32,2048,500,0.005429029,37.0859375,1.810836792
matmult,32,2048,500,0.005717754,37.0859375,1.810836792
matmult,32,2048,500,0.004479647,37.0859375,1.810836792
matmult,32,2048,500,0.003551006,37.0859375,1.810836792
matmult,32,2048,500,0.003582954,37.0859375,1.810836792
matmult,32,2048,500,0.004204035,37.0859375,1.810836792
matmult,32,2048,500,0.004083872,37.0859375,1.810836792
matmult,32,2048,500,0.003789663,37.0859375,1.810836792
matmult,96,2048,5000,0.719490051,621.1640625,30.33027649
matmult,96,2048,5000,0.696709871,621.1640625,30.33027649
matmult,96,2048,5000,0.829967022,621.1640625,30.33027649
matmult,96,2048,5000,0.87860918,621.1640625,30.33027649
matmult,96,2048,5000,0.881107092,621.1640625,30.33027649
matmult,96,2048,5000,1.06387639,621.1640625,30.33027649
matmult,96,2048,5000,1.261419296,621.5625,30.34973145
matmult,96,2048,5000,1.30322957,621.5625,30.34973145
matmult,96,2048,5000,1.409400463,621.5625,30.34973145
matmult,96,2048,5000,1.704415798,621.5625,30.34973145
matmult,48,2048,3000,0.443136454,245.4609375,11.98539734
matmult,48,2048,3000,0.383152485,246.5820313,12.04013824
matmult,48,2048,3000,0.266816854,246.609375,12.04147339
matmult,48,2048,3000,0.288085938,246.8164063,12.05158234
matmult,48,2048,3000,0.345098495,249.3671875,12.1761322
matmult,48,2048,3000,0.270697355,249.3671875,12.1761322
matmult,48,2048,3000,0.27068615,250.2070313,12.2171402
matmult,48,2048,3000,0.263281822,250.2070313,12.2171402
matmult,48,2048,3000,0.293182373,250.2070313,12.2171402
matmult,48,2048,3000,0.269205809,250.2070313,12.2171402
matmult,64,2048,6000,0.8411057,876.8515625,42.8150177
matmult,64,2048,6000,0.892518282,876.8515625,42.8150177
matmult,64,2048,6000,1.081430197,878.7109375,42.9058075
matmult,64,2048,6000,1.147104025,878.7109375,42.9058075
matmult,64,2048,6000,1.084656715,878.7109375,42.9058075
matmult,64,2048,6000,1.084875584,878.7109375,42.9058075
matmult,64,2048,6000,1.074626207,878.7109375,42.9058075
matmult,64,2048,6000,1.285784006,878.7109375,42.9058075
matmult,64,2048,6000,1.272468567,878.7109375,42.9058075
matmult,64,2048,6000,1.337585211,878.7109375,42.9058075
matmult,64,2048,500,0.003807068,38.6015625,1.884841919
matmult,64,2048,500,0.003222704,38.6015625,1.884841919
matmult,64,2048,500,0.003859282,38.6015625,1.884841919
matmult,64,2048,500,0.003832102,38.6015625,1.884841919
matmult,64,2048,500,0.004724741,38.6015625,1.884841919
matmult,64,2048,500,0.004249573,38.6015625,1.884841919
matmult,64,2048,500,0.003826141,38.6015625,1.884841919
matmult,64,2048,500,0.008455992,38.6015625,1.884841919
matmult,64,2048,500,0.004037619,38.6015625,1.884841919
matmult,64,2048,500,0.005049944,38.6015625,1.884841919
matmult,80,2048,4000,0.455471516,410.921875,20.06454468
matmult,80,2048,4000,0.539753914,412.6015625,20.14656067
matmult,80,2048,4000,0.483280897,412.6015625,20.14656067
matmult,80,2048,4000,0.42780757,412.6015625,20.14656067
matmult,80,2048,4000,0.643409491,412.6015625,20.14656067
matmult,80,2048,4000,1.024180412,412.6015625,20.14656067
matmult,80,2048,4000,0.552534819,412.6015625,20.14656067
matmult,80,2048,4000,0.626414061,412.6015625,20.14656067
matmult,80,2048,4000,0.726149321,412.6015625,20.14656067
matmult,80,2048,4000,0.759119511,412.6015625,20.14656067
matmult,80,2048,500,0.002564907,35.1796875,1.717758179
matmult,80,2048,500,0.003350019,35.1796875,1.717758179
matmult,80,2048,500,0.004238129,35.1796875,1.717758179
matmult,80,2048,500,0.003258944,35.1796875,1.717758179
matmult,80,2048,500,0.003908157,35.1796875,1.717758179
matmult,80,2048,500,0.00417757,35.1796875,1.717758179
matmult,80,2048,500,0.003959656,35.1796875,1.717758179
