,benchmark,cpu_lim,mem_lim,data_size,exec_time,mem_usage,mem_util
135,linpack,16,2048,3000,12.97044062614441,178.046875,8.693695068359375
136,linpack,16,2048,3000,12.839011907577515,178.046875,8.693695068359375
137,linpack,16,2048,3000,12.876909494400024,178.046875,8.693695068359375
138,linpack,16,2048,3000,13.20938229560852,178.046875,8.693695068359375
139,linpack,16,2048,3000,13.323803663253784,178.046875,8.693695068359375
140,linpack,96,2048,3000,2.904144287109375,178.3515625,8.708572387695312
141,linpack,96,2048,3000,2.5592384338378906,178.3515625,8.708572387695312
142,linpack,96,2048,3000,2.7851033210754395,178.3515625,8.708572387695312
143,linpack,96,2048,3000,2.867483139038086,178.3515625,8.708572387695312
144,linpack,96,2048,3000,2.7840754985809326,178.3515625,8.708572387695312
145,linpack,96,2048,3000,2.7944414615631104,178.3515625,8.708572387695312
146,linpack,96,2048,3000,2.831364154815674,178.3515625,8.708572387695312
147,linpack,96,2048,3000,2.781460762023926,178.3515625,8.708572387695312
148,linpack,96,2048,3000,3.0104756355285645,178.3515625,8.708572387695312
149,linpack,96,2048,3000,2.7441134452819824,178.3515625,8.708572387695312
150,linpack,80,2048,2000,2.628816843032837,98.60546875,4.814720153808594
151,linpack,80,2048,2000,2.294840097427368,126.17578125,6.160926818847656
152,linpack,80,2048,2000,2.2217953205108643,126.203125,6.162261962890625
153,linpack,80,2048,2000,2.38553524017334,126.2265625,6.1634063720703125
154,linpack,80,2048,2000,2.4379630088806152,126.24609375,6.164360046386719
155,linpack,80,2048,2000,2.2009353637695312,126.51171875,6.177330017089844
156,linpack,80,2048,2000,2.5289547443389893,126.51171875,6.177330017089844
157,linpack,80,2048,2000,2.2911524772644043,126.51171875,6.177330017089844
158,linpack,80,2048,2000,2.2897133827209473,126.51171875,6.177330017089844
159,linpack,80,2048,2000,2.20556902885437,126.51171875,6.177330017089844
160,linpack,80,2048,500,0.6259832382202148,36.77734375,1.7957687377929688
161,linpack,80,2048,500,0.5469658374786377,36.77734375,1.7957687377929688
162,linpack,80,2048,500,0.5016641616821289,36.77734375,1.7957687377929688
163,linpack,80,2048,500,0.6752550601959229,36.77734375,1.7957687377929688
164,linpack,80,2048,500,0.6602387428283691,36.77734375,1.7957687377929688
165,linpack,80,2048,500,0.5497102737426758,36.77734375,1.7957687377929688
166,linpack,80,2048,500,0.6794748306274414,36.77734375,1.7957687377929688
167,linpack,80,2048,500,0.6720454692840576,36.77734375,1.7957687377929688
168,linpack,80,2048,500,0.49896693229675293,36.77734375,1.7957687377929688
169,linpack,80,2048,500,0.6266944408416748,36.77734375,1.7957687377929688
170,linpack,96,2048,4000,3.1784310340881348,289.24609375,14.123344421386719
171,linpack,96,2048,4000,3.498992443084717,289.24609375,14.123344421386719
172,linpack,96,2048,4000,3.1963396072387695,289.24609375,14.123344421386719
173,linpack,96,2048,4000,3.569730520248413,289.24609375,14.123344421386719
